local_account,local_label,code_i,code_ii,code_iii
10120000,CAP.SOUS.APPELE NON VERSE,DA,,
10130000,CAPITAL SOUSCRIT-APPELE VERSE,DA,,
10410000,PRIMES D'EMISSION,DB,,
10450000,BONS DE SOUSCRIPTION D'ACTIONS,DB,,
11900000,REPORT A NOUVEAU DEBITEUR,DH,,
12000000,RESULT. EXERCICE BENEFICE,DH,,
12900000,RESULTAT EXERCICE PERTE,DH,,
15110000,PROVISION LITIGE PRUD'HOMAL,DP,,
15111000,PROVISION POUR LITIGES,DP,,
15130000,PROVISIONS POUR LITIGES,DP,,
15180000,AUTRES PROVISIONS POUR RISQUES,DP,,
16110000,OBLIGATION CONVERTIBLE,DS,,
16410000,BNP CREDIT SILO,DU,,
16420000,BPI FRANCE,DU,,
16430000,PRET BANCAIRE,DU,,
16440000,PRET BANCAIRE BNP 60K,DU,,
16700100,AVANCE COFACE,DV,,
16740000,PRET PAYS DE LA LOIRE,DN,,
16750000,PRET MICHELIN DEVELOPPEMENT,EI,DV,DV/EI
16760000,PRET TOTAL DEVELOPPEMENT REGION,DV,,
16810000,AUTRES EMPRUNTS ONE ACCORD,DV,,
16820000,AUTRES EMPRUNTS RB INVESTMENT,DV,,
16880000,INTERETS COURUS,DV,,
20500000,DROIT PROP. INTELLECTUELL,AF,,
20510000,DEPOT DES MARQUES,AF,,
20520000,NOMS DE DOMAINE,AF,,
20700000,FONDS COMMERCIAL,AH,,
21540000,MATERIEL INDUSTRIEL,AR,,
21810000,INST. AGENCEMENTS,AT,,
21811000,INST. AGENCEMENTS BOUTIQUES,AT,,
21820000,MATERIEL DE TRANSPORT,AT,,
21830000,MATERIEL BUREAU ET INFO.,AT,,
21840000,MOBILIER,AT,,
26100000,TITRES SICCA,CU,,
26110000,TITRES MAGE JAPON,CU,,
26120000,TITRES MAGE ASIA PACIFIC,CU,,
26140000,TITRES CORTHAY UK,CU,,
26150000,TITRES CORÉE,CU,,
26160000,TITRES MAGE MIDDLE EAST (DUBAI),CU,,
26170000,TITRES MAGE DISTRIBUTORS SA,CU,,
26180000,TITRES VOLNEY UK,CU,,
26190000,TITRES ZHONGYA,CS,,
26710000,CC SICCA,BB,,
26720000,CC MAGE JAPON,BB,,
26730000,CC CORTHAY UK,BB,,
26740000,CC MAGE ASIA PACIFIC LTD (HK),BB,,
26750000,CC MAGE MIDDLE EAST (DUBAI),BB,,
26760000,CC MAGE CORÉE,BB,,
26770000,CC MAGE DISTRIBUTOR SA,BB,,
26780000,CC MAGE SHANGHAI COMMERCIAL,BB,,
26790000,CC VOLNEY UK,BB,,
26791000,COMPTE COURANT ARDILLAT LTD,BB,,
27500000,DEPOTS CAUTIONNEM.VERSES,BH,,
28050000,"CONCESSIONS DROITS SIM, BREVET LIC",AG,,
28154000,AMORT.MATERIEL INDUSTRIEL,AS,,
28181000,AMORT.AAI DIVERS,AU,,
28181100,AMORT.AAI BOUTIQUES,AU,,
28182000,AMORTISSEMENT MATERIEL TRANSPORT,AU,,
28183000,AMORT.MAT.BUREAU ET INFO.,AU,,
28184000,AMORT.MOBILIER,AU,,
29610000,PROV. POUR DEPREC. TITRES PARTICIP.,CV,,
29670000,PROV. DEPR. CREANCE. DE PARTICIP.,BC,,
31000000,STOCKS MAT.PREM.ET FOURN.,BL,,
31100000,STOCKS MAT PREMIERE CEINTURES,BL,,
31200000,STOCKS MAT PREMIERE SANDALE,BL,,
31300000,STOCKS MAT PREMIERE LG,BL,,
31400000,STOCKS MAT PREMIERE SLG,BL,,
33100000,PRODUITS EN COURS,BN,,
35500000,STOCKS DE PRODUITS FINIS,BR,,
35510000,STOCKS DE PRODUITS FINIS CEINTURE,BR,,
35520000,STOCKS PF PETITE MAROQUINERIE,BR,,
35530000,STOCKS PF MAROQUINERIE,BR,,
37000000,STOCKS DE MARCHANDISES,BT,,
37100000,STOCKS PETITES MAROQUINERIES,BT,,
37200000,STOCK MARCHANDISES LOAFER,BT,,
37300000,STOCK MARCHANDISES SNEAKERS,BT,,
39550000,PROV.DEPR.PRODUITS FINIS,BS,,
39710000,PROV.DEPR.MARCHANDISE SLG,BU,,
39720000,PROV.DEPR.MARCHANDISE LOAFER,BU,,
39730000,PROV.DEPR.MARCHANDISE SNEAKER,BU,,
40100000,FOURNISSEURS,DX,,
40810000,FOURN. FACT.NON PARVENUES,DX,,
40900000,FOURNISSEURS DEBITEURS,BV,,
40980000,AVOIRS A RECEVOIR,BZ,,
41100000,CLIENTS,BX,EA,
41110000,CLIENT CORTHAY DUBAI,BX,EA,
41120000,CLIENT CORTHAY UK,BX,EA,
41130000,CLIENT MAGE ASIA HONG KONG,BX,EA,
41140000,CLIENT MAGE JAPON,BX,EA,
41150000,CLIENT MAGE KOREA,BX,EA,
41160000,CLIENT MAGE AFRIQUE DU SUD,BX,EA,
41170000,CLIENT MAGE SHANGHAI,BX,EA,
41180000,CLIENT VOLNEY UK,BX,EA,
41181000,CLIENT Ardillat LTD,BX,EA,
41600000,CLIENTS DOUTEUX,BX,EA,
41810000,FACTURE A ETABLIR,BX,EA,
41900000,ACOMPTES CLIENTS,DW,,
41910000,CLIENTS ACOMPTES SUR COMMANDE,DW,,
41911000,GIFT VOUCHER,DW,,
41912000,CLIENTS ACOMPTES SOUMIS A TVA,DW,,
41980000,AVOIR A ETABLIR,EA,,
42100000,REMUNER.DUES AU PERSONNEL,DY,,
42500000,ACOMPTES,BZ,,
42700000,PERSONNEL OPPOSITIONS,DY,,
42820000,DETTES PROV./CONGES PAYES,DY,,
42860000,AUTRES CHARGES DE PERSONNEL A PAYER,DY,,
42861000,AUTRE CHARGES A PAYER/COMMISSIONS,DY,,
43100000,SECURITE SOCIALE,DY,,
43100001,URSSAF MAINE ET LOIRE,DY,,
43200000,MAISONS DES ARTISTES,DY,,
43730000,CAISSE DE RETRAITE,DY,,
43741000,ORGANISME DE COMPLEMENTAIRE SANTE,DY,,
43750000,PREVOYANCE,DY,,
43820000,CHARG.SOC./CONGES A PAYER,DY,,
43860000,ORGANISMES SOCIAUX CHARGES A PAYER,DY,,
43870000,PRODUITS A RECEVOIR,BZ,BZ,
43900000,ORG. SOCIAUX - PRODUITS A RECEVOIR,DY,BZ,
44170000,SUBVENTION D'EXPLOITATION A RECEVOI,DY,BZ,
44200000,ETAT IMPOTS ET TAXES RECOUVRABLES,DY,BZ,
44410000,CREDIT D'IMPOTS,DY,BZ,
44520000,TVA DUE ACHAT INTRACOMMUNAUT.,DY,BZ,
44551000,TVA A DECAISSER,DY,BZ,
44561000,TVA DED PRESTA INTRA AUTOLIQUIDEE,DY,BZ,
44561100,TVA DED PRESTAT H.UE AUTOLIQUIDEE,DY,BZ,
44562000,TVA DED ACHAT INTRACOM,DY,BZ,
44566000,TVA/AUTRES BIENS SERV. DED.,DY,BZ,
44566010,TVA SUR SERVICE,DY,BZ,
44566100,TVA DED ACHATS H.UE AUTOLIQUIDES,DY,BZ,
44566200,TVA / IMMO,DY,BZ,
44567000,CREDIT DE TVA A REPORTE,DY,BZ,
44570100,TVA COL ACHATS H.UE AUOTOLIQUIDES,DY,BZ,
44570200,TVA COL PRESTA UE AUTOLIQUIDEE,DY,BZ,
44570300,TVA COL PRESTA H.UE AUTOLIQUIDEE,DY,BZ,
44571000,TVA COLLECTEE,DY,BZ,
44571100,TVA COLLECTEE 20%,DY,BZ,
44571200,TVA COLLECTEE VTE E-SHOP UE,DY,BZ,
44583000,REMBOURSEMENT TVA DEMANDE,DY,BZ,
44585000,TVA A REGULARISER PAYEE D'AVANCE,DY,BZ,
44586000,TVA/FACT. NON PARVENUES,DY,BZ,
44586100,TVA SUR ACHAT IMMO A REGULARISER,DY,BZ,
44586100,TVA SUR ACHAT IMMO A REGULARISER,DY,BZ,
44587000,TVA FACTURE A ETABLIR,DY,BZ,
44860000,ETAT CHARGES A PAYER,DY,BZ,
45540000,COMPTE COURANT XAVIER DE ROYER,DV,DV,
45540001,C/C ASSOCIES BZ DVT,DV,DV,
45540002,C/C ASSOCIES JC JOURDE,DV,DV,
45540004,C/C ASSOCIES COMMERGNAT,DV,DV,
45540005,CC ASSOCIE KARIM FETTOUS,DV,DV,
45540007,APPORT C/C EYNOUR BOUTIA,DV,DV,
45540009,C/C ASSOCIE LAZARE JEROME,DV,DV,
45540011,C/C KAREN CHENG KAR YUNN,DV,DV,
45540018,ASSOCIE C/C EDOUARD DE ROYERE,DV,DV,
45540021,ASSOCIE C/C WILLIAM LUNEAU,DV,DV,
45540023,C/C VISVIRES PARTNER PTE LTD,DV,DV,
45540024,ASSOCIE C/C MR JACQUES CHENAIN,DV,DV,
45540025,ASSOCIES CC OLIVIERO BOTTINELLI,DV,DV,
45540026,APPORT CC MR.EDOUARD DARIER,DV,DV,
45540027,ASSOCIE SHINE LIGHT HOLDINGS PTD,DV,DV,
45540028,ASSOCIE C/C MAXIME REAL DEL SARTE,DV,DV,
45540029,ASSOCIE C/C RB INVESTMENT,DV,DV,
45540033,C/C ASSOCIE HOLDING HANCEL,DV,DV,
45540034,CC RB INVESTMENT 0% INTERETS,DV,DV,
45541000,C/C XAVIER DE ROYERE [HONG KONG],DV,DV,
45542000,CC EDOUARD DE ROYERE JR,DV,DV,
45615000,ASS CPTE APPORT EN NUM.,DV,DV,
45615100,ASS CPTE FIP PATRIMOINE FR1,DV,DV,
45615200,ASS CPTE FIP PATRIMOINE FR2,DV,DV,
45615300,ASS CPTE NOVA PME,DV,DV,
45615400,ASS CPTE FIP ATOUT PME2,DV,DV,
45615500,ASS CPTE SAS VINS PIERRE,DV,DV,
45615600,ASS CPT EXTENDAM  FIP PLUIREL OUEST,DV,DV,
45880000,INTERETS COURUS/COMPTES COURANTS,DV,DV,
46710000,NDF PIERRE CORTHAY,EA,BZ,BZ
46710001,NDF ROALD DAHL,EA,BZ,BZ
46710100,NDF STEPHANE VILLETTE,EA,BZ,BZ
46730000,NDF XAVIER DE ROYERE,EA,BZ,BZ
46780006,NDF YANN TENA,EA,BZ,BZ
46780800,NDF POURCHER FRANCOIS,EA,BZ,BZ
46780900,NDF DIVERS,EA,BZ,BZ
46781200,NDF PHILIPPE VITRY,EA,BZ,BZ
46781300,NDF CLAIRE CARPENTIER,EA,BZ,BZ
46781400,NDF ALEXANDRE MEVIL-BLANCHE,EA,BZ,BZ
46781600,NDF DNT,EA,BZ,BZ
46781700,NDF JL THARREAU,EA,BZ,BZ
46781800,NDF AMAURY LE BARBIER,EA,BZ,BZ
46781900,NDF STEPHANE BARRET,EA,BZ,BZ
46782000,NDF BACH TUNG NGUYEN,EA,BZ,BZ
46782100,NDF VINCENT WALLNER,EA,BZ,BZ
46782200,NDF MATTHEW ALLEN,EA,BZ,BZ
46782300,NDF PATRICIA BRETAUDEAU,EA,BZ,BZ
46782400,NDF VITTU JEAN-LOUP,EA,BZ,BZ
46782500,NDF BRUNEL ETIENNE,EA,BZ,BZ
46782600,NDF MEILLAREC TITOUAN,EA,BZ,BZ
46790000,AUTR.CPTS DEBIT.OU CREDIT,EA,BZ,BZ
46791000,AUTR.CPT DEBIT. OU CREDIT VOLNEY UK,EA,BZ,BZ
46860000,CHARGES A PAYER,EA,EA,
46870000,DIVERS PRODUITS A RECEVOIR,EA,EA,
47100000,COMPTE D ATTENTE,BZ,,
47500000,JUSTIFS CB EN ATTENTE,BZ,,
48600000,CHARGES CONSTAT. D'AVANCE,CH,,
48700000,PRODUITS CONSTAT. D'AVANCE,EB,,
49100000,PROVISION CLIENTS DOUTEUX,BY,,
49110000,PROV DEPREC CREANCE FILIALES,BY,,
51210000,BNP PARIBAS,CF,,
51211000,BNP PARIBAS COMPTE GARANTIES,CF,,
51220000,BNP PARIBAS COMPTE CAPITAL,CF,,
51230000,HSBC,CF,,
51810000,INTERETS COURUS A PAYER,DU,,
53000000,CAISSE PETITE DEPENSE VOLNEY,CF,CF,
53010000,CAISSE USINE,CF,CF,
53110000,CAISSE BOUTIQUE,CF,,
53111300,CAISSE PETITE DEPENSE VOLNEY,CF,,
53120000,CAISSE USINE,CF,,
53130000,CAISSE VIGNON,CF,,
58000000,VIREMENTS INTERNES,CF,,
60100000,ACHATS MAT. 1ERE & FOURNITURES,FU,,
60100100,ACHATS MAT 1ERE EXOTIC FRANCE,FU,,
60101000,ACHATS MP & FOURN. CEINTURE,FU,,
60110000,ACHATS MAT 1ERE FRANCE,FU,,
60111000,ACHATS MAT 1ERE EXOTIC FRANCE,FU,,
60120000,ACHATS MAT 1ERE INTRACOM,FU,,
60130000,ACHATS MAT 1ERE HORS UE,FU,,
60140000,ACHATS MAT 1ERE CEINTURE,FU,,
60150000,ACHATS MAT 1ERE SANDALES,FU,,
60160000,ACHATS MAT 1ERE PETITE MAROQUINERIE,FU,,
60161000,ACHATS MAT 1ERE MAROQUINERIE,FU,,
60170000,ACHATS FOURNITURE,FU,,
60170100,ACHATS FOURNITURES CEINTURES,FU,,
60170200,ACHATS FOURNITURES LEATHER GOODS,FU,,
60170300,ACHATS FOURNITURES SANDALES,FU,,
60170400,ACHATS FOURNITURES SLG,FU,,
60310000,"VAR.STOCKS MAT.1ERE,FOURN",FV,,
60311000,VAR STOCKS MAT.1ERE DAGUET,FV,,
60312000,VAR.STOCKS MAT.1ERE SANDALES,FV,,
60313000,VAR.STOCKS MAT.1ERE LG,FV,,
60314000,VAR.STOCKS MAT.1ERE SLG,FV,,
60370000,VAR.STOCKS MARCHANDISES,FT,,
60371000,VAR.STOCKS PETITES MAROQUINERIES,FT,,
60371100,VAR.STOCKS MARCH. MANUF,FT,,
60372000,VAR.STOCKS LOAFER MANUF,FT,,
60372100,VAR.STOCKS LOAFER,FT,,
60373000,VAR.STOCKS SNEAKERS MANUF,FT,,
60373100,VAR.STOCKS SNEAKERS,FT,,
60400000,TRAVAIL A FACON,FW,,
60411000,SOUS TRAITANCE CORDONNIER,FW,,
60412000,SOUS TRAITANCE CORDONNIER VOLNEY,FW,,
60420000,ACHATS DE PRESTATIONS ET ETUDES,FW,,
60430000,SOUS TRAITANCE CEINTURES,FW,,
60440000,SOUS TRAITANCE SANDALES,FW,,
60450000,SOUS TRAITANCE PETITE MAROQUINERIE,FW,,
60460000,SOUS TRAITANCE MAROQUINERIE,FW,,
60610000,ELECTRICITE BEAUPREAU,FW,,
60610100,GAZ VIGNON,FW,,
60611000,GAZ,FW,,
60611100,CARBURANT,FW,,
60611200,CARBURANT MANUFACTURE,FW,,
60612000,EAU,FW,,
60613000,ELECTRICITE VOLNEY,FW,,
60630000,FRT ENTRETIEN / PTT EQPT,FW,,
60631000,ACHAT FOURNITURES PRESENTATION,FW,,
60640000,ACHAT FOURNIT.  ADMINISTRATIVES,FW,,
60641000,ACHAT FOURN. ADMIN. BEAUPREAU,FW,,
60650000,ACHAT PETIT EQUIP & FOURN BEAUPREAU,FW,,
60660000,ACHAT MAT & FOURN MARKETING,FW,,
60670000,SHOP DISPLAY,FW,,
