local_account,local_label,group_coa
10100000,CAPITAL,Share capital
10610000,RESERVE LEGALE,Statutory reserve
11900000,REPORT A NOUVEAU DEBITEUR,Retained earnings/losses
12000000,RESULTAT,Retained earnings/losses
15110000,PROVISIONS POUR LITIGES,Accrued expenses
20700000,FONDS COMMERCIAL,Goodwill
21350000,AAI DES CONSTRUCTIONS,Leasehold improvements
21540000,MATERIEL INDUSTRIEL,Industrial equipment
21810000,AAI DIVERS,Leasehold improvements
21830000,MATERIEL BUREAU ET INFO.,Office & computer equipment
21840000,MOBILIER,"Fixtures, fittings & equipment"
27500000,DEPOTS CAUTIONNEM.VERSES,Deposit
28135000,AMORT.AAI DES CONSTRUCT.,Accum. Depreciation - L.H.
28154000,AMORT.MATERIEL INDUSTRIEL,Accum. Depreciation - Industrial equipment
28181000,AMORT.AAI DIVERS,Accum. Depreciation - L.H.
28183000,AMORT.MAT.BUREAU ET INFO.,Accum. Depreciation -office et computer  equipment
28184000,AMORT.MOBILIER,Accum. Depreciation - F.F.E.
31100000,STOCKS M1 & FOURNITURES,Stock raw material
32200000,STOCKS FOURNITURES CONSOMMABLES,Stock raw material
33120000,PRODUITS EN COURS,Stock work in progress
35510000,STOCKS PRODUITS FINIS,Stock shoes
39500000,DEPRECIATION STOCKS PRODUITS FINIS,Accum. Depreciation - Stocks
40100000,FOURNISSEURS,Accounts Payable
40810000,FACTURES NON PARVENUES,Accrued expenses
40900000,FOURNISSEURS DEBITEURS,Prepaid expenses
40980000,AAR,Other Receivables
41100000,CLIENTS,Account Receivable
41610000,CLIENTS DOUTEUX,Account Receivable
41810000,FACTURE A ETABLIR,Account Receivable
41910000,CLIENTS ACOMPTES SUR COMMANDES,Deposit received
42100000,PERSONNEL SALAIRES,Net wage
42500000,AVANCES ET ACPTES,Employee advances
42700000,PERSONNEL OPPOSITIONS,Employee advances
42820000,DETTES PROVISIONNEES CONGES PAYES,Accrued vacation
42860000,AUTRE CHARGE DE PERSONNE A PAYER,Accrued commissions
43100000,URSSAF - P?LE EMPLOI,PAYE Liabilities
43710000,RETRAITE NOVALIS,PAYE Liabilities
43730000,PREVOYANCE,PAYE Liabilities
43740000,ORGANISME DE COMPLEMENTAIRE SANTE,PAYE Liabilities
43820000,CHARGES SOC SUR CONGES PAYES,Accrued fringe benefits
43860000,ORGANISME SOCIAUX AUTRE CHARGE,Accrued fringe benefits
43870000,ORG. SOCIAUX PRODUITS A RECEV.,Other Receivables
